location,type_organization,year_association,age_association
Las Cruces,Women,2001,15
Pichilemu,Women,2000,16
Coronel,Women,2009,7
Coliumo,Women,2002,14
Cocholgue,Women,2004,12
Anahuac,Women,2004,12
El Quisco,Men,1959,57
Coronel,Men,1995,21
Coliumo,Men,1990,26
Maitencillo,Men,1988,28
Pichilemu,Men,1985,31
Mostazal,Mixed-W,1998,18
La Boca,Mixed-W,1981,35
Pichilemu/Topocalma,Mixed-W,2011,5
Lota,Mixed-W,2014,2
Estaquilla,Mixed-W,2002,14
Estaquila,Mixed-W,1994,22
Matanza,Mixed-M,1985,31
Puertecillo,Mixed-M,1986,30
Coronel,Mixed-M,1982,34
Anahuac,Mixed-M,1997,19
Estaquilla,Mixed-M,2004,12
Chorillo,Mixed-M,1990,26