year,Activity,gender,number
2004,Boat owner,Men,11994
2004,Boat owner,Women,405
2004,Diver,Men,13046
2004,Diver,Women,51
2004,Fisher,Men,37309
2004,Fisher,Women,1785
2004,Gleaner,Men,4458
2004,Gleaner,Women,1967
2005,Boat owner,Men,12272
2005,Boat owner,Women,454
2005,Diver,Men,13319
2005,Diver,Women,51
2005,Fisher,Men,39307
2005,Fisher,Women,2170
2005,Gleaner,Men,5566
2005,Gleaner,Women,2855
2006,Boat owner,Men,12586
2006,Boat owner,Women,517
2006,Diver,Men,13507
2006,Diver,Women,52
2006,Fisher,Men,40948
2006,Fisher,Women,2386
2006,Gleaner,Men,6596
2006,Gleaner,Women,3825
2007,Boat owner,Men,12831
2007,Boat owner,Women,549
2007,Diver,Men,13718
2007,Diver,Women,53
2007,Fisher,Men,42828
2007,Fisher,Women,2633
2007,Gleaner,Men,8040
2007,Gleaner,Women,6007
2008,Boat owner,Men,12918
2008,Boat owner,Women,577
2008,Diver,Men,13862
2008,Diver,Women,61
2008,Fisher,Men,43894
2008,Fisher,Women,3130
2008,Gleaner,Men,9974
2008,Gleaner,Women,8340
2009,Boat owner,Men,13143
2009,Boat owner,Women,603
2009,Diver,Men,14185
2009,Diver,Women,66
2009,Fisher,Men,45583
2009,Fisher,Women,3551
2009,Gleaner,Men,12903
2009,Gleaner,Women,10356
2010,Boat owner,Men,13455
2010,Boat owner,Women,623
2010,Diver,Men,14436
2010,Diver,Women,69
2010,Fisher,Men,47011
2010,Fisher,Women,3833
2010,Gleaner,Men,15001
2010,Gleaner,Women,12852
2011,Boat owner,Men,12250
2011,Boat owner,Women,574
2011,Diver,Men,14319
2011,Diver,Women,69
2011,Fisher,Men,47598
2011,Fisher,Women,4164
2011,Gleaner,Men,17481
2011,Gleaner,Women,15388
2012,Boat owner,Men,11111
2012,Boat owner,Women,518
2012,Diver,Men,14493
2012,Diver,Women,69
2012,Fisher,Men,49435
2012,Fisher,Women,4498
2012,Gleaner,Men,20553
2012,Gleaner,Women,17088
2013,Boat owner,Men,11284
2013,Boat owner,Women,544
2013,Diver,Men,14524
2013,Diver,Women,69
2013,Fisher,Men,49878
2013,Fisher,Women,4625
2013,Gleaner,Men,22464
2013,Gleaner,Women,17922
2014,Boat owner,Men,10099
2014,Boat owner,Women,482
2014,Diver,Men,12043
2014,Diver,Women,52
2014,Fisher,Men,45243
2014,Fisher,Women,4251
2014,Gleaner,Men,56280
2014,Gleaner,Women,20557
2015,Boat owner,Men,9843
2015,Boat owner,Women,469
2015,Diver,Men,12059
2015,Diver,Women,54
2015,Fisher,Men,45620
2015,Fisher,Women,4533
2015,Gleaner,Men,57036
2015,Gleaner,Women,22001
2016,Boat owner,Men,10108
2016,Boat owner,Women,486
2016,Diver,Men,11958
2016,Diver,Women,56
2016,Fisher,Men,40731
2016,Fisher,Women,4447
2016,Gleaner,Men,58837
2016,Gleaner,Women,24963
2017,Boat owner,Men,10682
2017,Boat owner,Women,510
2017,Diver,Men,10540
2017,Diver,Women,53
2017,Fisher,Men,41420
2017,Fisher,Women,4619
2017,Gleaner,Men,49535
2017,Gleaner,Women,18643