organization,tot_participants,men_particopants,women_participants
AnahuacMix,95,77,8
AnahuacWom,32,0,32
Chorrillo,53,36,17
Cocholgue,200,0,200
ColiumoMen,48,48,0
ColiumoWom,33,0,33
El Quisco,72,71,1
Estaquilla,73,40,33
Huahuar,17,9,8
La Boca,,,
Las Cruces,13,2,11
Lo Roja,265,259,6
Lota,54,14,40
Maitencillo,40,40,0
Matanza,25,20,5
MauleMen,30,30,0
MauleWomen,50,0,50
Mostazal,23,10,13
Pampina,11,7,4
PichilemuFar,29,15,14
PichilemuMen,37,37,0
PichilemuWom,23,0,23
Puertecillo,48,38,10